,event_trading,event_trading,overnight_trading,overnight_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading
,super_bowl,super_bowl,short_term_reversal,short_term_reversal,buy_when_yields_are_low,buy_when_yields_are_low,pay_day_strategy,pay_day_strategy,santa_claus_strategy,santa_claus_strategy,september_bear,september_bear,tax_day_strategy,tax_day_strategy,turn_around_tuesday_strategy,turn_around_tuesday_strategy
,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L
Date,,,,,,,,,,,,,,,,
2010-11-03,,,,,,,,,,,,,,,,
2010-11-04,,,,,,,,,,,,,,,,
2010-11-05,,,,,,,,,,,,,,,,
2010-11-08,,,,,,,,,,,,,,,,
2010-11-09,,,,,,,,,,,,,,,,
2010-11-10,,,,,,,,,,,,,,,,
2010-11-11,,,,,,,,,,,,,,,,
2010-11-12,,,,,,,,,,,,,,,,
2010-11-15,,,,-0.017460304642996416,,,,,,,,,,,,-0.017460304642996416
2010-11-16,,,,0.0032106581265918255,,,,,,,,,,,,0.0032106581265918255
2010-11-17,,,,,,,,,,,,,,,,
2010-11-18,,,,,,,,,,,,,,,,
2010-11-19,,,,,,,,,,,,,,,,
2010-11-22,,,,,,,,,,,,,,,,
2010-11-23,,,,,,,,,,,,,,,,
2010-11-24,,,,,,,,-0.003073716311437713,,,,,,,,
2010-11-26,,,,,,,,-0.004337344351187045,,,,,,,,
2010-11-29,,,,,,,,-0.012682177316007182,,,,,,,,-0.012682177316007182
2010-11-30,,,,0.021598923485164345,,,,0.021598923485164345,,,,,,,,0.021598923485164345
2010-12-01,,,,,,,,0.0103672159987227,,,,,,,,
2010-12-02,,,,,,,,,,,,,,,,
2010-12-03,,,,,,,,,,,,,,,,
2010-12-06,,,,,,,,,,,,,,,,-0.0002247183612882342
2010-12-07,,,,,,,,,,,,,,,,0.00517390583704147
2010-12-08,,,,,,,,,,,,,,,,
2010-12-09,,,,,,,,,,,,,,,,
2010-12-10,,,,,,,,,,,,,,,,
2010-12-13,,,,,,,,,,,,,,,,0.0023187365452526087
2010-12-14,,,,,,,,,,,,,,,,
2010-12-15,,,,,,,,,,,,,,,,
2010-12-16,,,,,,,,,,,,,,,,
2010-12-17,,,,,,,,,,0.0021119982400015225,,,,,,
